Tracking PC: r+, Inst: None
Time 4075: PC -> 0x101b0
Time 4095: PC -> 0x101b8
Time 4115: PC -> 0x101c0
Time 4135: PC -> 0x10168
Time 4145: PC -> 0x10170
Time 4165: PC -> 0x10178
Time 4185: PC -> 0x10180
Time 4205: PC -> 0x10188
Time 4225: PC -> 0x10190
Time 4265: PC -> 0x10198
Time 4285: PC -> 0x101c8
Time 4295: PC -> 0x101d0
Time 4315: PC -> 0x101d8
Time 4335: PC -> 0x101e0
Time 4365: PC -> 0x101e8
Time 4385: PC -> 0x101f0
Time 4405: PC -> 0x101f8
Time 4425: PC -> 0x101a8
Time 4445: PC -> 0x101b0
Time 4465: PC -> 0x101b8
Time 4485: PC -> 0x101c0
Time 4505: PC -> 0x10168
Time 4515: PC -> 0x10170
Time 4535: PC -> 0x10178
Time 4555: PC -> 0x10180
Time 4575: PC -> 0x10188
Time 4595: PC -> 0x10190
Time 4635: PC -> 0x10198
Time 4655: PC -> 0x101c8
Time 4665: PC -> 0x101d0
Time 4685: PC -> 0x101d8
Time 4705: PC -> 0x101e0
Time 4735: PC -> 0x101e8
Time 4755: PC -> 0x101f0
Time 4775: PC -> 0x101f8
Time 4795: PC -> 0x101a8
Time 4815: PC -> 0x101b0
Time 4835: PC -> 0x101b8
Time 4855: PC -> 0x101c0
Time 4875: PC -> 0x10168
Time 4885: PC -> 0x10170
Time 4905: PC -> 0x10178
Time 4925: PC -> 0x10180
Time 4945: PC -> 0x10188
Time 4965: PC -> 0x10190
